Order_Date,Product_ID,Product_Category,Buyer_Gender,Buyer_Age,Order_Location,International_Shipping,Sales_Price,Shipping_Charges,Sales_per_Unit,Quantity,Total_Sales,Rating
2024-07-21,BF1543,Clothing,Male,30,New Jersey,No,100,0,100,1,100,4
2024-07-20,BF1543,Clothing,Male,32,Las Vegas,No,100,0,100,1,100,3
2024-07-21,BF1544,Other,Female,26,Cardiff,Yes,9,40,49,1,49,2
2024-08-19,BF1544,Other,Male,28,Pittsburgh,No,9,0,9,2,18,3
2024-01-06,BF1545,Other,Female,19,Miami,No,10,0,10,3,30,5
2024-06-01,BF1546,Clothing,Male,29,Sydney,Yes,118,100,218,1,218,1
2024-03-06,BF1547,Ornaments,Male,32,Memphis,No,32,0,32,3,96,4
2024-04-16,BF1547,Ornaments,Male,26,Miami,No,32,0,32,2,64,3
2024-05-22,BF1545,Other,Female,26,New York,No,10,0,10,1,10,4
2024-02-27,BF1548,Clothing,Male,20,Sydney,Yes,65,100,165,1,165,4
2023-11-05,BF1546,Clothing,Female,34,Montreal,Yes,118,25,143,1,143,5
2024-09-24,BF1548,Clothing,Male,21,Sacramento,No,65,0,65,1,65,1
2024-10-04,BF1546,Clothing,Male,29,Las Vegas,No,118,0,118,3,354,5
2024-01-26,BF1549,Clothing,Male,26,New Jersey,No,130,0,130,2,260,2
2024-05-13,BF1547,Ornaments,Male,24,Montreal,Yes,32,25,57,2,114,3
2023-12-03,BF1550,Clothing,Male,34,Paris,Yes,97,50,147,1,147,5
2024-09-23,BF1551,Ornaments,Female,31,San Antonio,No,15,0,15,3,45,2
2023-12-13,BF1548,Clothing,Male,32,Las Vegas,No,65,0,65,1,65,5
2024-03-26,BF1545,Other,Female,25,Cleveland,No,10,0,10,1,10,5
2024-08-31,BF1548,Clothing,Male,20,London,Yes,65,40,105,2,210,2
2024-09-01,BF1550,Clothing,Male,23,Cleveland,No,97,0,97,1,97,1
2023-11-30,BF1548,Clothing,Male,26,Portland,No,65,0,65,1,65,4
2024-06-04,BF1545,Other,Female,18,Detroit,No,10,0,10,2,20,3
2024-06-02,BF1546,Clothing,Female,19,New Jersey,No,118,0,118,3,354,1
2024-07-23,BF1550,Clothing,Male,19,New Jersey,No,97,0,97,4,388,3
2024-10-31,BF1545,Other,Male,32,Cardiff,Yes,10,40,50,2,100,1
2024-06-08,BF1551,Ornaments,Male,28,Sacramento,No,15,0,15,1,15,5
2024-02-28,BF1543,Clothing,Male,22,Sydney,Yes,100,100,200,3,600,5
2023-11-29,BF1550,Clothing,Male,20,Dublin,Yes,97,40,137,1,137,4
2024-01-16,BF1548,Clothing,Male,30,Glasgow,Yes,65,40,105,4,420,1
2023-12-13,BF1545,Other,Female,22,Austin,No,10,0,10,4,40,5
2024-07-14,BF1544,Other,Male,31,Sacramento,No,9,0,9,1,9,4
2024-02-26,BF1547,Ornaments,Male,22,Cleveland,No,32,0,32,3,96,5
2024-02-16,BF1548,Clothing,Male,25,Austin,No,65,0,65,1,65,2
2024-07-09,BF1548,Clothing,Female,22,Glasgow,Yes,65,40,105,1,105,4
2024-10-12,BF1545,Other,Male,29,Dublin,Yes,10,40,50,1,50,5
2024-03-09,BF1547,Ornaments,Male,22,New Jersey,No,32,0,32,1,32,5
2024-01-12,BF1544,Other,Male,32,Cleveland,No,9,0,9,1,9,4
2024-05-30,BF1547,Ornaments,Male,31,Cardiff,Yes,32,40,72,5,360,5
2024-06-10,BF1544,Other,Female,21,New York,No,9,0,9,1,9,2
2024-01-14,BF1545,Other,Female,18,Pittsburgh,No,10,0,10,1,10,4
2024-05-10,BF1545,Other,Male,22,Cleveland,No,10,0,10,2,20,3
2024-04-21,BF1548,Clothing,Male,20,Pittsburgh,No,65,0,65,1,65,2
2024-04-17,BF1548,Clothing,Female,19,Montreal,Yes,65,25,90,1,90,4
2024-07-11,BF1548,Clothing,Male,35,Las Vegas,No,65,0,65,5,325,1
2024-08-28,BF1548,Clothing,Female,23,Glasgow,Yes,65,40,105,1,105,3
2024-07-18,BF1544,Other,Male,19,Toronto,Yes,9,25,34,1,34,4
2024-07-22,BF1548,Clothing,Male,32,Cardiff,Yes,65,40,105,1,105,5
2024-05-12,BF1549,Clothing,Male,33,Las Vegas,No,130,0,130,1,130,3
2024-02-18,BF1550,Clothing,Female,26,Sacramento,No,97,0,97,5,485,2
2024-06-23,BF1551,Ornaments,Female,26,Mumbai,Yes,15,70,85,1,85,5
2024-04-20,BF1545,Other,Male,21,London,Yes,10,40,50,1,50,4
2024-06-09,BF1548,Clothing,Female,22,Glasgow,Yes,65,40,105,3,315,4
2024-05-29,BF1552,Ornaments,Male,28,London,Yes,45,40,85,1,85,5
2024-02-26,BF1552,Ornaments,Male,26,New Jersey,No,45,0,45,2,90,4
2024-04-02,BF1550,Clothing,Female,21,Memphis,No,97,0,97,1,97,4
2023-12-19,BF1545,Other,Female,25,San Antonio,No,10,0,10,2,20,3
2024-02-15,BF1543,Clothing,Male,33,San Francisco,No,100,0,100,3,300,1
2024-01-20,BF1549,Clothing,Female,25,Austin,No,130,0,130,1,130,2
2024-09-26,BF1553,Ornaments,Male,18,London,Yes,50,40,90,1,90,5
2024-08-25,BF1548,Clothing,Male,32,Las Vegas,No,65,0,65,1,65,4
2024-10-20,BF1548,Clothing,Female,27,London,Yes,65,40,105,1,105,4
2024-03-06,BF1548,Clothing,Male,28,Manchester,Yes,65,40,105,1,105,5
2024-04-16,BF1544,Other,Male,24,New York,No,9,0,9,2,18,5
2024-04-05,BF1545,Other,Male,21,Liverpool,Yes,10,40,50,1,50,1
2024-04-21,BF1554,Ornaments,Male,29,Miami,No,20,0,20,1,20,5
2024-09-20,BF1551,Ornaments,Male,34,Portland,No,15,0,15,4,60,1
2024-02-29,BF1553,Ornaments,Female,24,Manchester,Yes,50,40,90,2,180,5
2024-02-05,BF1551,Ornaments,Male,33,Sacramento,No,15,0,15,1,15,4
2024-03-02,BF1548,Clothing,Male,20,Detroit,No,65,0,65,1,65,1
2024-10-03,BF1543,Clothing,Female,20,Las Vegas,No,100,0,100,2,200,4
2024-04-08,BF1543,Clothing,Female,32,Liverpool,Yes,100,40,140,1,140,3
2024-04-22,BF1551,Ornaments,Female,21,Toronto,Yes,15,25,40,3,120,4
2023-11-13,BF1549,Clothing,Male,26,New Jersey,No,130,0,130,2,260,1
2024-07-13,BF1543,Clothing,Male,31,New Jersey,No,100,0,100,5,500,5
2023-12-11,BF1552,Ornaments,Female,26,Paris,Yes,45,50,95,2,190,1
2024-01-31,BF1545,Other,Female,24,San Francisco,No,10,0,10,1,10,4
2024-02-03,BF1544,Other,Male,24,Cleveland,No,9,0,9,1,9,4
2024-01-26,BF1548,Clothing,Male,20,San Francisco,No,65,0,65,2,130,4
2024-09-21,BF1548,Clothing,Male,25,New York,No,65,0,65,2,130,5
2024-02-09,BF1544,Other,Female,31,Detroit,No,9,0,9,3,27,1
2024-01-20,BF1550,Clothing,Male,23,New Jersey,No,97,0,97,1,97,2
2024-03-30,BF1550,Clothing,Male,34,New Jersey,No,97,0,97,1,97,3
2024-11-03,BF1546,Clothing,Male,19,New Jersey,No,118,0,118,1,118,5
2024-09-24,BF1549,Clothing,Male,34,Detroit,No,130,0,130,3,390,4
2023-12-02,BF1546,Clothing,Female,35,Cleveland,No,118,0,118,4,472,4
2023-11-16,BF1551,Ornaments,Male,34,Las Vegas,No,15,0,15,1,15,3
2024-08-03,BF1548,Clothing,Female,18,Cleveland,No,65,0,65,2,130,3
2023-11-12,BF1551,Ornaments,Male,32,Portland,No,15,0,15,1,15,4
2024-04-10,BF1551,Ornaments,Male,33,Portland,No,15,0,15,1,15,4
2024-02-05,BF1551,Ornaments,Female,27,Paris,Yes,15,50,65,1,65,5
2024-07-24,BF1551,Ornaments,Female,21,Miami,No,15,0,15,2,30,5
2023-12-11,BF1551,Ornaments,Female,19,New York,No,15,0,15,4,60,4
2024-02-26,BF1546,Clothing,Female,31,Memphis,No,118,0,118,1,118,4
2024-05-13,BF1550,Clothing,Male,35,Cleveland,No,97,0,97,1,97,1
2024-05-22,BF1549,Clothing,Male,28,Detroit,No,130,0,130,2,260,1
2024-01-22,BF1550,Clothing,Male,18,Cardiff,Yes,97,40,137,2,274,4
2024-06-12,BF1544,Other,Male,26,Cardiff,Yes,9,40,49,2,98,5
2023-12-14,BF1546,Clothing,Female,21,Glasgow,Yes,118,40,158,3,474,3
2024-03-20,BF1545,Other,Female,23,San Francisco,No,10,0,10,2,20,3
2023-12-10,BF1551,Ornaments,Male,29,Detroit,No,15,0,15,2,30,3
2023-11-21,BF1551,Ornaments,Male,35,Detroit,No,15,0,15,1,15,4
2024-10-20,BF1551,Ornaments,Male,23,Pittsburgh,No,15,0,15,1,15,3
2024-05-08,BF1549,Clothing,Male,21,Miami,No,130,0,130,1,130,1
2024-03-14,BF1554,Ornaments,Female,27,Portland,No,20,0,20,1,20,4
2024-07-28,BF1548,Clothing,Male,33,Cleveland,No,65,0,65,1,65,5
2024-03-24,BF1551,Ornaments,Male,20,Detroit,No,15,0,15,1,15,4
2024-07-18,BF1545,Other,Female,18,Detroit,No,10,0,10,1,10,5
2023-11-20,BF1551,Ornaments,Male,34,Las Vegas,No,15,0,15,2,30,4
2024-09-29,BF1551,Ornaments,Male,30,Detroit,No,15,0,15,1,15,5
2024-01-05,BF1552,Ornaments,Female,28,Cardiff,Yes,45,40,85,3,255,2
2024-06-27,BF1547,Ornaments,Male,23,Detroit,No,32,0,32,2,64,5
2023-12-22,BF1555,Other,Female,25,Austin,No,23,0,23,1,23,4
2024-01-10,BF1548,Clothing,Male,25,New York,No,65,0,65,2,130,4
2024-10-24,BF1550,Clothing,Male,32,Detroit,No,97,0,97,5,485,5
2023-11-13,BF1552,Ornaments,Female,25,San Antonio,No,45,0,45,2,90,1
2024-03-08,BF1544,Other,Male,27,San Antonio,No,9,0,9,1,9,3
2023-11-24,BF1546,Clothing,Female,21,Detroit,No,118,0,118,1,118,1
2024-06-13,BF1555,Other,Female,20,San Antonio,No,23,0,23,2,46,3
2024-07-31,BF1551,Ornaments,Male,34,New York,No,15,0,15,5,75,5
2024-08-12,BF1544,Other,Male,29,New Delhi,Yes,9,70,79,1,79,5
2024-10-28,BF1549,Clothing,Male,18,New Jersey,No,130,0,130,1,130,3
2024-03-22,BF1549,Clothing,Female,25,Toronto,Yes,130,25,155,1,155,4
2024-06-01,BF1554,Ornaments,Female,23,Las Vegas,No,20,0,20,1,20,4
2024-09-25,BF1550,Clothing,Female,25,Sacramento,No,97,0,97,1,97,4
2024-02-23,BF1552,Ornaments,Male,31,Miami,No,45,0,45,4,180,4
2024-02-01,BF1555,Other,Male,32,New Jersey,No,23,0,23,1,23,5
2023-11-24,BF1545,Other,Male,28,Las Vegas,No,10,0,10,3,30,5
2023-11-14,BF1544,Other,Male,19,London,Yes,9,40,49,2,98,5
2024-09-24,BF1548,Clothing,Female,26,Portland,No,65,0,65,1,65,2
2024-05-28,BF1543,Clothing,Male,31,Mumbai,Yes,100,70,170,1,170,4
2024-10-30,BF1553,Ornaments,Male,18,Las Vegas,No,50,0,50,3,150,5
2024-09-22,BF1544,Other,Female,18,New York,No,9,0,9,1,9,4
2024-04-03,BF1548,Clothing,Male,30,Sacramento,No,65,0,65,1,65,4
2024-08-31,BF1543,Clothing,Male,35,Memphis,No,100,0,100,1,100,3
2024-08-30,BF1545,Other,Male,29,San Francisco,No,10,0,10,3,30,5
2024-04-04,BF1544,Other,Male,19,Memphis,No,9,0,9,3,27,4
2023-11-13,BF1550,Clothing,Female,26,Glasgow,Yes,97,40,137,2,274,3
2024-10-07,BF1545,Other,Male,34,Cleveland,No,10,0,10,2,20,3
2024-01-16,BF1548,Clothing,Male,29,Memphis,No,65,0,65,2,130,2
2024-09-17,BF1545,Other,Male,35,Miami,No,10,0,10,1,10,2
2024-02-08,BF1547,Ornaments,Male,31,Portland,No,32,0,32,2,64,5
2024-08-28,BF1545,Other,Male,29,Pittsburgh,No,10,0,10,5,50,4
2023-11-18,BF1547,Ornaments,Female,18,Sacramento,No,32,0,32,1,32,5
2024-02-04,BF1544,Other,Male,35,Las Vegas,No,9,0,9,1,9,5
2024-02-27,BF1551,Ornaments,Female,26,Dublin,Yes,15,40,55,1,55,5
2024-09-12,BF1551,Ornaments,Female,22,Manchester,Yes,15,40,55,5,275,1
2023-12-12,BF1550,Clothing,Female,30,Toronto,Yes,97,25,122,1,122,3
2023-11-12,BF1554,Ornaments,Female,24,Austin,No,20,0,20,2,40,2
2023-12-20,BF1548,Clothing,Male,24,Sacramento,No,65,0,65,1,65,5
2024-02-02,BF1546,Clothing,Male,27,Memphis,No,118,0,118,1,118,4
2024-08-19,BF1548,Clothing,Female,26,London,Yes,65,40,105,1,105,4
2024-05-02,BF1551,Ornaments,Male,29,Portland,No,15,0,15,5,75,5
2024-01-06,BF1547,Ornaments,Male,33,Sacramento,No,32,0,32,1,32,5
2024-02-25,BF1553,Ornaments,Male,30,San Antonio,No,50,0,50,2,100,1
2024-01-04,BF1549,Clothing,Male,29,Toronto,Yes,130,25,155,1,155,4
